,ID,Complete All,Finished,Public Profile,Getting Started with Google Kubernetes Engine,Google Cloud Fundamentals: Core Infrastructure,Essential Google Cloud Infrastructure: Foundation,Essential Google Cloud Infrastructure: Core Services,Optimize Costs for Google Kubernetes Engine,Build Infrastructure with Terraform on Google Cloud
80,230087343,No,0,https://www.cloudskillsboost.google/public_profiles/154c9171-5059-431d-b4c9-3d3f48efe90e,,,,,,
14,230087933,No,0,https://www.cloudskillsboost.google/public_profiles/be4b1968-f57d-4295-8c11-d05de9fb8264,,,,,,
30,230090833,No,2,https://www.cloudskillsboost.google/public_profiles/ed467c44-95bc-4f9e-b066-5fc65bef8a50,,X,X,,,
33,230090894,Yes,6,https://www.cloudskillsboost.google/public_profiles/18b502d5-5c0b-4634-9c67-ac9639cbfe83,X,X,X,X,X,X
0,230094611,Yes,6,https://www.cloudskillsboost.google/public_profiles/3d042e11-8fde-4e34-8ff5-5132f310a3a0,X,X,X,X,X,X
16,230096825,Yes,6,https://www.cloudskillsboost.google/public_profiles/0a305f82-442c-4196-9ed0-055514d1370f,X,X,X,X,X,X
21,230104504,No,5,https://www.cloudskillsboost.google/public_profiles/65615256-7a36-45e9-b7d9-1b27e3d4ee8e,X,X,X,X,X,
51,230106221,Yes,6,https://www.cloudskillsboost.google/public_profiles/3d422f7e-9023-430e-aa88-97d01ad4acd4,X,X,X,X,X,X
45,230108158,No,0,https://www.cloudskillsboost.google/public_profiles/9f26501e-cd32-4e1b-b84a-bdfbf4db7f1c,,,,,,
17,230108933,No,4,https://www.cloudskillsboost.google/public_profiles/ae69a318-3944-4c8f-8b55-f70170c6638a,X,X,X,X,,
79,230109155,No,1,https://www.cloudskillsboost.google/public_profiles/b7bfcbec-e58d-47be-948f-bbc5ec74af24,X,,,,,
53,230110191,No,0,https://www.cloudskillsboost.google/public_profiles/0f0bbe7e-f063-4999-a02f-0595e9944711,,,,,,
84,230118047,No,0,https://www.cloudskillsboost.google/public_profiles/0032540a-e8b2-402c-a00c-a9eddd6766df,,,,,,
27,230128250,Yes,6,https://www.cloudskillsboost.google/public_profiles/c7dd6b9b-f311-4011-bedc-840f456a4ca9,X,X,X,X,X,X
60,230137314,Yes,6,https://www.cloudskillsboost.google/public_profiles/29b8587d-cc21-42a7-b39f-3ee2237e6357,X,X,X,X,X,X
55,230142256,No,1,https://www.cloudskillsboost.google/public_profiles/86db5772-a2d4-4033-bc0b-fa564127f4da,X,,,,,
49,230151517,Yes,6,https://www.cloudskillsboost.google/public_profiles/afdcb7ef-b87c-4f14-92ee-24b54e0614a7,X,X,X,X,X,X
56,230160471,No,0,https://www.cloudskillsboost.google/public_profiles/15dcaf44-1990-4ae6-95b1-fa05c314e94d,,,,,,
67,230166592,No,0,https://www.cloudskillsboost.google/public_profiles/b9b96e97-9f21-409f-b603-01bbb621698b,,,,,,
91,230172003,Yes,6,https://www.cloudskillsboost.google/public_profiles/78b7070f-5048-4d5e-8a23-9881bc78e4a3,X,X,X,X,X,X
36,230172076,No,0,https://www.cloudskillsboost.google/public_profiles/8daedc3a-b840-4a1b-a9dc-5eba9c1f19c1,,,,,,
12,230180642,No,5,https://www.cloudskillsboost.google/public_profiles/0c4d492b-3eaa-47f7-9401-127eea107e72,X,X,,X,X,X
74,230189974,No,0,https://www.cloudskillsboost.google/public_profiles/2bfe12b6-dcfd-446d-a6d9-a15f5252dd0e,,,,,,
58,230193557,No,0,https://www.cloudskillsboost.google/public_profiles/5927d2db-f3fb-4e30-94c3-85e248fd3e1b,,,,,,
50,230196873,No,0,https://www.cloudskillsboost.google/public_profiles/32bb838a-fddc-499e-ab15-ddc7081cf69a,,,,,,
